giocatore,link_a,link_b
Kaichi Uchida,https://www.atptour.com/en/players/kaichi-uchida/u120/rankings-breakdown,https://www.atptour.com/en/players/kaichi-uchida/u120/player-stats
Rinky Hijikata,https://www.atptour.com/en/players/rinky-hijikata/h0bh/rankings-breakdown,https://www.atptour.com/en/players/rinky-hijikata/h0bh/player-stats
Carlos Taberner,https://www.atptour.com/en/players/carlos-taberner/te16/rankings-breakdown,https://www.atptour.com/en/players/carlos-taberner/te16/player-stats
Ricardas Berankis,https://www.atptour.com/en/players/ricardas-berankis/be90/rankings-breakdown,https://www.atptour.com/en/players/ricardas-berankis/be90/player-stats
Alexander Ritschard,https://www.atptour.com/en/players/alexander-ritschard/rc04/rankings-breakdown,https://www.atptour.com/en/players/alexander-ritschard/rc04/player-stats
Fabian Marozsan,https://www.atptour.com/en/players/fabian-marozsan/m0ci/rankings-breakdown,https://www.atptour.com/en/players/fabian-marozsan/m0ci/player-stats
Henri Laaksonen,https://www.atptour.com/en/players/henri-laaksonen/l949/rankings-breakdown,https://www.atptour.com/en/players/henri-laaksonen/l949/player-stats
James Duckworth,https://www.atptour.com/en/players/james-duckworth/d994/rankings-breakdown,https://www.atptour.com/en/players/james-duckworth/d994/player-stats
Yosuke Watanuki,https://www.atptour.com/en/players/yosuke-watanuki/wb08/rankings-breakdown,https://www.atptour.com/en/players/yosuke-watanuki/wb08/player-stats
Enzo Couacaud,https://www.atptour.com/en/players/enzo-couacaud/cg94/rankings-breakdown,https://www.atptour.com/en/players/enzo-couacaud/cg94/player-stats
Santiago Rodriguez Taverna,https://www.atptour.com/en/players/santiago-rodriguez-taverna/rh59/rankings-breakdown,https://www.atptour.com/en/players/santiago-rodriguez-taverna/rh59/player-stats
Otto Virtanen,https://www.atptour.com/en/players/otto-virtanen/v0am/rankings-breakdown,https://www.atptour.com/en/players/otto-virtanen/v0am/player-stats
Facundo Mena,https://www.atptour.com/en/players/facundo-mena/mj98/rankings-breakdown,https://www.atptour.com/en/players/facundo-mena/mj98/player-stats
Luciano Darderi,https://www.atptour.com/en/players/luciano-darderi/d0fj/rankings-breakdown,https://www.atptour.com/en/players/luciano-darderi/d0fj/player-stats
Emilio Nava,https://www.atptour.com/en/players/emilio-nava/n0am/rankings-breakdown,https://www.atptour.com/en/players/emilio-nava/n0am/player-stats
Benoit Paire,https://www.atptour.com/en/players/benoit-paire/pd31/rankings-breakdown,https://www.atptour.com/en/players/benoit-paire/pd31/player-stats
